Crown,KingTower,LeftPrincess,RigthPrincess,CrownOpponent,KingTowerOpponent,LeftPrincessOpponent,RigthPrincessOpponent,Cluster
1,6408,2844,2681,0,6118,3758,0,0
3,2576,1656,0,1,0,0,0,2
1,6408,720,1676,0,6408,3955,0,0
0,6408,1504,0,1,6408,2972,416,1
1,6408,3542,2140,0,6057,1531,0,0
3,6408,4032,4032,0,0,0,0,2
2,827,2638,0,1,3145,0,0,2
1,6408,1650,608,0,6263,919,0,0
1,6408,934,2272,0,2743,4032,0,0
3,2468,2259,0,1,0,0,0,2
0,6408,1120,0,1,6408,4032,1690,1
0,6408,4032,0,1,6408,668,4032,1
0,6408,3800,0,1,6134,3407,2833,1
1,6408,3104,3409,0,6408,1949,0,0
1,6408,2748,3330,0,561,2824,0,0
1,6408,962,2591,0,6408,4032,0,0
1,6408,4032,189,0,6408,3767,0,0
1,6408,4032,544,0,5858,730,0,0
1,5275,0,0,2,1479,3331,0,1
0,6408,3836,0,1,6408,2836,3816,1
0,6408,1070,0,1,6408,48,3684,1
1,0,0,0,3,6408,1078,0,1
1,6408,1719,2537,0,6408,2728,0,0
1,6408,1211,4032,0,6408,2378,0,0
0,6408,4032,0,1,6408,1686,3496,1
3,6408,2993,4032,0,0,0,0,2
1,6408,3564,1439,0,6408,3360,0,0
1,155,0,0,2,2678,2598,0,1
1,6408,1012,1438,0,6408,3303,0,0
1,6196,162,1214,0,6196,3314,0,0
0,6408,2028,0,1,6408,3198,3916,1
3,6408,479,3654,0,0,0,0,2
3,6408,4032,0,1,0,0,0,2
0,6062,2532,0,1,6408,3184,845,1
1,6408,4032,766,0,6408,3731,0,0
1,0,0,0,3,4503,2353,0,1
1,6408,1214,2097,0,6408,2284,0,0
0,6407,1306,0,1,6407,795,3915,1
1,6408,1876,2490,0,6408,3368,0,0
1,6041,774,2618,0,6041,3433,0,0
1,6408,3611,943,0,6408,2454,0,0
2,2416,607,0,1,1643,0,0,2
0,2516,1197,0,1,6408,3108,1911,1
0,6408,405,0,1,6408,1877,2879,1
0,0,0,0,3,6408,4032,3346,1
0,6408,2894,0,1,6177,753,1635,1
0,6408,1896,0,1,6408,175,3293,1
1,6408,2202,2557,0,6408,2078,0,0
1,6408,2703,3885,0,6254,4032,0,0
0,5833,1002,0,1,5833,2210,1395,1
1,6408,3738,2798,0,6254,3562,0,0
0,6408,4032,0,1,6408,2346,3916,1
0,6408,4032,0,1,6408,2825,84,1
0,6408,3635,0,1,6408,4032,355,1
0,6408,1902,0,1,6408,3642,1694,1
0,6408,4032,0,1,6408,4032,1624,1
1,6408,961,3400,0,6408,1222,0,0
1,6408,1166,3784,0,6408,2987,0,0
0,6358,3982,3982,0,6358,3982,3982,0
0,6408,2262,0,1,6408,1139,3510,1
0,6408,4032,0,1,6408,3647,2299,1
1,5193,2318,283,0,5193,1477,0,0
0,5760,2392,0,1,5375,2201,1608,1
1,6408,3155,2802,0,6408,4032,0,0
1,6408,3624,3744,0,4622,4032,0,0
1,6231,3678,2943,0,6408,1654,0,0
1,6231,2686,3549,0,5718,3254,0,0
0,5982,4032,0,1,6408,4032,184,1
1,5566,2917,1811,0,6276,2531,0,0
3,6408,4032,1191,0,0,0,0,2
3,6408,3454,4032,0,0,0,0,2
1,4606,1766,1608,0,4606,845,0,0
3,6408,3765,3642,0,0,0,0,2
1,6408,2362,3370,0,6408,2972,0,0
1,6408,3618,2215,0,5074,2362,0,0
1,5613,1958,4032,0,6408,3333,0,0
0,6408,3288,0,1,5718,3855,373,1
1,0,0,0,3,4710,3073,0,1
0,6408,3493,0,1,5718,2524,2997,1
0,6408,3954,0,1,5772,1072,4032,1
1,6152,2574,685,0,6408,3731,0,0
1,4945,2279,113,0,5980,2775,0,0
0,6408,4032,0,1,6408,4032,882,1
0,6310,3444,0,1,6408,727,3999,1
1,6408,1943,476,0,6408,4032,0,0
1,0,0,0,3,4913,2837,0,1
1,6408,1408,4032,0,6408,4032,0,0
1,6408,3921,2339,0,6408,3758,0,0
0,6162,3574,0,1,6162,3670,216,1
1,6231,2286,1481,0,6408,3363,0,0
0,6324,4032,0,1,6408,264,4032,1
1,6408,1724,2688,0,6330,3199,0,0
0,4421,1123,0,1,6408,555,2760,1
1,3461,1162,3263,0,6408,2518,0,0
2,3263,3661,0,1,5657,0,0,2
